"player_info","rank","bye","owner_2018","fantasy_pts_proj"
"Minnesota / Min / DEF","166","12","Grey Nut Grabbers","110"
"Pittsburgh / Pit / DEF","167","7","FA","109"
"Brandon McManus / Den / K","168","10","FA","109"
"Indianapolis / Ind / DEF","169","6","WU NAME PENDING","108"
"Keke Coutee / Hou / WR","170","10","FA","108"
"Nelson Agholor / Phi / WR","171","10","FA","107"
"John Ross III / Cin / WR","172","9","FA","107"
"Tre'Quan Smith / NO / WR","173","9","FA","107"
"Anthony Miller / Chi / WR","174","6","FA","107"
"Curtis Samuel / Car / WR","175","7","FA","107"
"Jalen Richard / Oak / RB","176","6","FA","106"
"Michael Gallup / Dal / WR","177","8","FA","106"
"Case Keenum / Was / QB","178","10","FA","106"
"Courtland Sutton / Den / WR","179","10","mouse rat","105"
"Seattle / Sea / DEF","180","11","FA","104"
"Marquise Goodwin / SF / WR","181","4","ChildPlease","104"
"Kenny Stills / Mia / WR","182","5","WU NAME PENDING","104"
"Houston / Hou / DEF","183","10","ChildPlease","104"
"DeVante Parker / Mia / WR","184","5","FA","103"
"Jacksonville / Jax / DEF","185","10","The White Walkers","101"
"Marquez Valdes-Scantling / GB / WR","186","11","FA","101"
"Rex Burkhead / NE / RB","187","10","FA","100"
"Robert Foster / Buf / WR","188","6","WU NAME PENDING","100"
"C.J. Anderson / Det / RB","189","5","FA","100"
"Dallas / Dal / DEF","190","8","FA","100"
"Royce Freeman / Den / RB","191","10","FA","99"
"Zane Gonzalez / Ari / K","192","12","FA","99"
"Kyle Rudolph / Min / TE","193","12","The White Walkers","99"
"Buffalo / Buf / DEF","194","6","FA","98"
"Quincy Enunwa / NYJ / WR","195","4","FA","98"
"Adam Humphries / Ten / WR","196","11","FA","98"
"Mark Andrews / Bal / TE","197","8","FA","97"
"Marqise Lee / Jax / WR","198","10","FA","97"
"Larry Fitzgerald / Ari / WR","199","12","teddy bear suicide","91"
"Denver / Den / DEF","200","10","C$","97"
"Trey Burton / Chi / TE","201","6","FA","96"
"Green Bay / GB / DEF","202","11","FA","96"
"Tennessee / Ten / DEF","203","11","TheFlawlessVictories","95"
"Jamison Crowder / NYJ / WR","204","4","FA","94"
"Jimmy Graham / GB / TE","205","11","mouse rat","93"
"Atlanta / Atl / DEF","206","9","FA","93"
"Adrian Peterson / Was / RB","207","10","The White Walkers","93"
"Josh Rosen / Mia / QB","208","5","FA","87"
"Arizona / Ari / DEF","209","12","FA","93"
"Greg Olsen / Car / TE","210","7","FA","92"
"Phillip Dorsett III / NE / WR","211","10","FA","92"
"San Francisco / SF / DEF","212","4","FA","92"
"Jack Doyle / Ind / TE","213","6","FA","91"
"Duke Johnson Jr. / Hou / RB","214","10","FA","91"
"Jordan Reed / Was / TE","215","10","FA","91"
"Miles Sanders / Phi / RB","216","10","FA","90"
