"player_info","rank","bye","fantasy_pts_proj","position","rush_td_proj","rush_yds_proj","rush_att_proj","owner_2018"
"Daniel Lasco II / NO / RB","505","9","0","RB","0","0","0","FA"
"Kenneth Farrow / Mia / RB","508","5","0","RB","0","0","0","FA"
"Russell Hansbrough / Was / RB","513","10","0","RB","0","0","0","FA"
"Josh Ferguson / Hou / RB","514","10","0","RB","0","0","0","FA"
"Brandon Wilds / SF / RB","519","4","0","RB","0","0","0","FA"
"Byron Marshall / Was / RB","522","10","0","RB","0","0","0","FA"
"Rob Kelley / NO / RB","524","9","0","RB","0","0","0","FA"
"Joe Kerridge / Cle / RB","525","7","0","RB","0","0","0","FA"
"Tra Carson / GB / RB","526","11","0","RB","0","0","0","FA"
"Tre Madden / Sea / RB","542","11","0","RB","0","0","0","FA"
"D.J. Foster / Ari / RB","553","12","0","RB","0","0","0","FA"
"Elijhaa Penny / NYG / RB","555","11","0","RB","0","0","0","FA"
"C.J. Ham / Min / RB","560","12","0","RB","0","0","0","FA"
"Alfred Morris / Dal / RB","567","8","0","RB","0","0","0","FA"
"Troymaine Pope / LAC / RB","573","12","0","RB","0","0","0","FA"
"Travaris Cadet / Car / RB","579","7","0","RB","0","0","0","FA"
"Samaje Perine / Was / RB","589","10","0","RB","0","0","0","FA"
"Donnel Pumphrey / Phi / RB","593","10","0","RB","0","0","0","FA"
"Jeremy McNichols / Ten / RB","599","11","0","RB","0","0","0","FA"
"Alex Armah / Car / RB","604","7","0","RB","0","0","0","FA"
"De'Angelo Henderson / Min / RB","606","12","0","RB","0","0","0","FA"
"Devante Mays / Jax / RB","610","10","0","RB","0","0","0","FA"
"Elijah Hood / Jax / RB","612","10","0","RB","0","0","0","FA"
"Khalfani Muhammad / Den / RB","613","10","0","RB","0","0","0","FA"
"Matt Dayes / NO / RB","616","9","0","RB","0","0","0","FA"
